,id,mid_tempo,order,diff,complexity,prac1_diff,prac1_perf,prac1_err,prac2_diff,prac2_perf,prac2_err,prac3_diff,prac3_perf,prac3_err,prac4_diff,prac4_perf,prac4_err,prac5_diff,prac5_perf,prac5_err,prac_coef_diff,prac_intecept_diff,prac_coef_perf,prac_intecept_perf,prac_coef_err,prac_intecept_err,test_diff,test_err,test_perf,ret1_diff,ret1_err,ret1_perf,ret2_diff,ret2_err,ret2_perf,ret3_diff,ret3_err,ret3_perf
20,14,83,0,4,3,4,5,0.0687675,4,3,0.258020227,3,3,0.318257273,2,4,0.061969318,3,3,0.127105909,-0.39999999999999997,4.0,-0.30000000000000004,4.2,-0.007937409099999996,0.1826988636,1,0.067076045,5,2,0.111143045,4,2,0.054504955,5,1,0.050712409,6
21,14,83,1,0,3,4,2,0.869174958,3,4,0.413142375,2,5,0.251364333,2,4,0.413975708,2,5,0.164669625,-0.5,3.6,0.6,2.8,-0.14081773330000003,0.7041008664,4,0.338563583,2,2,0.043912125,6,1,0.045328792,6,1,0.028939375,6
22,14,83,2,2,3,2,3,0.240143882,1,6,0.066690235,2,6,0.084686,1,6,0.065744824,1,6,0.117326706,-0.20000000000000004,1.8,0.6000000000000001,4.2,-0.024657976300000013,0.164234282,1,0.161737941,6,1,0.099967941,5,1,0.139550882,5,1,0.104934765,6
23,14,83,3,3,3,2,5,0.094981833,2,4,0.102134083,2,5,0.074814375,2,5,0.088884875,1,4,0.072185625,-0.2,2.2,-0.10000000000000002,4.8,-0.0058841624,0.098368483,2,0.238236375,5,1,0.077689375,4,1,0.0784765,5,1,0.214221167,4
24,15,281,0,3,5,3,6,0.058623818,3,7,0.013918227,2,7,0.018104227,3,5,0.275023773,2,6,0.1368315,-0.19999999999999998,3.0,-0.19999999999999998,6.6000000000000005,0.04175209100000001,0.016996126999999972,1,0.106007045,7,1,0.029283955,6,2,0.158422409,5,2,0.587067136,6
25,15,281,1,4,5,5,5,0.529956316,3,6,0.333174684,4,3,1.317469211,3,6,0.187366158,3,6,0.371462474,-0.4000000000000001,4.4,0.2,4.8,-0.046279621000000014,0.6404450105999999,2,0.083619474,6,2,0.094080158,6,2,0.294832421,4,2,0.017594368,7
26,15,281,2,0,5,3,6,0.760888889,2,6,0.811098333,2,5,0.436294056,2,6,0.1431325,2,7,0.099188056,-0.19999999999999998,2.6,0.19999999999999998,5.6,-0.19913674990000002,0.8483938666000002,1,0.089796611,6,2,0.253690611,6,2,0.232243611,5,1,0.536983722,4
27,15,281,3,2,5,2,4,0.212556889,3,3,0.272007556,3,5,0.145121333,2,6,0.049809333,2,5,0.127675556,-0.09999999999999996,2.5999999999999996,0.5,3.5999999999999996,-0.039196088899999995,0.23982631119999998,2,0.154032556,6,3,0.470296611,6,2,0.039453056,6,2,0.119212,6
28,16,281,0,2,3,2,6,0.050631407,1,7,0.045683556,1,7,0.048102815,1,7,0.048737481,1,7,0.048547259,-0.20000000000000004,1.6,0.19999999999999998,6.3999999999999995,-0.00011143710000000046,0.0485633778,4,0.403591519,3,6,0.706857593,1,5,0.70029863,2,6,0.480647926,2
29,16,281,1,3,3,6,1,0.521433762,7,1,0.76737219,6,1,0.148750952,6,2,0.237290905,6,1,0.241036667,-0.09999999999999999,6.4,0.09999999999999999,1.0,-0.1090875475,0.6013519902,6,0.160227143,2,4,0.09184181,5,5,0.166529,2,5,0.103274762,2
30,16,281,2,4,3,7,1,0.792266526,7,1,0.944125421,7,1,0.809243,7,1,0.798849947,7,1,0.758125421,0.0,7.0,0.0,1.0,-0.021355768399999996,0.8632335997999999,7,0.897561105,2,6,0.164617053,2,7,0.872057474,1,5,0.128784632,2
31,16,281,3,0,3,6,1,0.7560554,6,3,0.59238896,5,4,0.49848804,4,4,0.3783262,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.33292804,2,5,0.31864068,2,5,0.32834528,2,4,0.31611884,2
32,17,248,0,0,3,1,7,0.071945217,1,7,0.306961087,5,5,0.862603043,1,6,0.043110652,1,6,0.217127609,3.510833468576701e-17,1.8,-0.30000000000000004,6.800000000000001,0.002651434900000003,0.2950466518,2,0.035730652,6,5,0.278442174,4,2,0.118771957,6,2,0.122059348,5
33,17,248,1,2,3,1,6,0.177025318,1,7,0.025345227,1,7,0.029904682,1,7,0.020799773,1,7,0.025890682,0.0,1.0,0.19999999999999998,6.3999999999999995,-0.030681472599999995,0.11715608159999999,3,0.121459318,5,1,0.398181818,6,1,0.258423864,5,1,0.018129318,7
